fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	CH_PO_13_08	CH_PO_13_08	CH_PO_13_08	CH_PO_13_08	CH_PO_13_08
NA	CH_PO_13_09	CH_PO_13_09	CH_PO_13_09	CH_PO_13_09	CH_PO_13_09
NA	CH_PO_13_10	CH_PO_13_10	CH_PO_13_10	CH_PO_13_10	CH_PO_13_10
NA	CH_PO_13_11	CH_PO_13_11	CH_PO_13_11	CH_PO_13_11	CH_PO_13_11
NA	CH_PO_13_12	CH_PO_13_12	CH_PO_13_12	CH_PO_13_12	CH_PO_13_12
NA	CH_PO_13_13	CH_PO_13_13	CH_PO_13_13	CH_PO_13_13	CH_PO_13_13
NA	CH_PO_13_14	CH_PO_13_14	CH_PO_13_14	CH_PO_13_14	CH_PO_13_14
NA	CH_PO_13_15	CH_PO_13_15	CH_PO_13_15	CH_PO_13_15	CH_PO_13_15
NA	CH_PO_13_16	CH_PO_13_16	CH_PO_13_16	CH_PO_13_16	CH_PO_13_16
NA	CH_PO_13_17	CH_PO_13_17	CH_PO_13_17	CH_PO_13_17	CH_PO_13_17
NA	CH_PO_13_18	CH_PO_13_18	CH_PO_13_18	CH_PO_13_18	CH_PO_13_18
NA	CH_PO_13_19	CH_PO_13_19	CH_PO_13_19	CH_PO_13_19	CH_PO_13_19
NA	CH_PO_13_20	CH_PO_13_20	NA	NA	NA
NA	CH_PO_13_21	CH_PO_13_21	CH_PO_13_21	CH_PO_13_21	CH_PO_13_21
NA	CH_PO_13_22	CH_PO_13_22	CH_PO_13_22	CH_PO_13_22	CH_PO_13_22
NA	CH_PO_13_23	CH_PO_13_23	CH_PO_13_23	CH_PO_13_23	CH_PO_13_23
NA	CH_PO_13_24	CH_PO_13_24	CH_PO_13_24	CH_PO_13_24	CH_PO_13_24
NA	CH_PO_13_25	CH_PO_13_25	CH_PO_13_25	CH_PO_13_25	CH_PO_13_25
NA	CH_PO_13_26	CH_PO_13_26	CH_PO_13_26	CH_PO_13_26	CH_PO_13_26
NA	CH_PO_13_27	CH_PO_13_27	CH_PO_13_27	CH_PO_13_27	CH_PO_13_27
NA	CH_PO_13_28	CH_PO_13_28	CH_PO_13_28	CH_PO_13_28	CH_PO_13_28
NA	CT_PO_25_01	CT_PO_25_01	NA	NA	NA
NA	CT_PO_25_02	CT_PO_25_02	NA	NA	NA
NA	DE_PO_08_01	DE_PO_08_01	DE_PO_08_01	DE_PO_08_01	DE_PO_08_01
NA	DE_PO_08_02	DE_PO_08_02	DE_PO_08_02	DE_PO_08_02	DE_PO_08_02
NA	DE_PO_08_03	DE_PO_08_03	DE_PO_08_03	DE_PO_08_03	DE_PO_08_03
NA	DE_PO_08_04	DE_PO_08_04	DE_PO_08_04	DE_PO_08_04	DE_PO_08_04
NA	DE_PO_08_05	DE_PO_08_05	DE_PO_08_05	DE_PO_08_05	DE_PO_08_05
NA	DE_PO_08_06	DE_PO_08_06	DE_PO_08_06	DE_PO_08_06	DE_PO_08_06
NA	DE_PO_08_07	DE_PO_08_07	DE_PO_08_07	DE_PO_08_07	DE_PO_08_07
NA	DE_PO_08_08	DE_PO_08_08	DE_PO_08_08	DE_PO_08_08	DE_PO_08_08
NA	DE_PO_08_09	DE_PO_08_09	DE_PO_08_09	DE_PO_08_09	DE_PO_08_09
NA	DE_PO_08_10	DE_PO_08_10	DE_PO_08_10	DE_PO_08_10	DE_PO_08_10
NA	DE_PO_08_11	DE_PO_08_11	DE_PO_08_11	DE_PO_08_11	DE_PO_08_11
NA	DE_PO_08_12	DE_PO_08_12	DE_PO_08_12	DE_PO_08_12	DE_PO_08_12
NA	DE_PO_08_13	DE_PO_08_13	DE_PO_08_13	DE_PO_08_13	DE_PO_08_13
NA	DE_PO_08_14	DE_PO_08_14	NA	NA	NA
NA	DE_PO_08_15	DE_PO_08_15	DE_PO_08_15	DE_PO_08_15	DE_PO_08_15
NA	DE_PO_08_16	DE_PO_08_16	DE_PO_08_16	DE_PO_08_16	DE_PO_08_16
NA	DE_PO_08_18	DE_PO_08_18	DE_PO_08_18	DE_PO_08_18	DE_PO_08_18
NA	DE_PO_08_19	DE_PO_08_19	DE_PO_08_19	DE_PO_08_19	DE_PO_08_19
NA	DE_PO_08_20	DE_PO_08_20	DE_PO_08_20	DE_PO_08_20	DE_PO_08_20
NA	DE_PO_08_21	DE_PO_08_21	DE_PO_08_21	DE_PO_08_21	DE_PO_08_21
NA	DE_PO_08_22	DE_PO_08_22	DE_PO_08_22	DE_PO_08_22	DE_PO_08_22
NA	DE_PO_08_23	DE_PO_08_23	DE_PO_08_23	DE_PO_08_23	DE_PO_08_23
NA	DE_PO_08_24	DE_PO_08_24	DE_PO_08_24	DE_PO_08_24	DE_PO_08_24
NA	DE_PO_08_25	DE_PO_08_25	DE_PO_08_25	DE_PO_08_25	DE_PO_08_25
NA	DE_PO_08_26	DE_PO_08_26	DE_PO_08_26	DE_PO_08_26	DE_PO_08_26
