fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	ES-PP-04-06	ES-PP-04-06	ES-PP-04-06	ES_PP_04_06	ES_PP_04_06
NA	ES-PP-04-07	ES-PP-04-07	ES-PP-04-07	ES_PP_04_07	ES_PP_04_07
NA	ES-PP-04-08	ES-PP-04-08	ES-PP-04-08	ES_PP_04_08	NA
NA	ES-PP-04-09	ES-PP-04-09	ES-PP-04-09	ES_PP_04_09	NA
NA	ES-PP-04-10	ES-PP-04-10	ES-PP-04-10	ES_PP_04_10	ES_PP_04_10
NA	ES-PP-04-11	ES-PP-04-11	ES-PP-04-11	ES_PP_04_11	ES_PP_04_11
NA	ES-PP-04-12	ES-PP-04-12	ES-PP-04-12	ES_PP_04_12	ES_PP_04_12
NA	ES-PP-04-13	ES-PP-04-13	ES-PP-04-13	ES_PP_04_13	NA
NA	ES-PP-04-14	ES-PP-04-14	ES-PP-04-14	ES_PP_04_14	ES_PP_04_14
NA	ES-PP-04-15	ES-PP-04-15	ES-PP-04-15	ES_PP_04_15	ES_PP_04_15
NA	ES-PP-04-16	ES-PP-04-16	ES-PP-04-16	ES_PP_04_16	ES_PP_04_16
NA	ES-PP-04-17	ES-PP-04-17	ES-PP-04-17	ES_PP_04_17	NA
NA	ES-PP-04-18	ES-PP-04-18	ES-PP-04-18	ES_PP_04_18	NA
NA	ES-PP-04-19	ES-PP-04-19	ES-PP-04-19	ES_PP_04_19	ES_PP_04_19
NA	ES-PP-04-20	ES-PP-04-20	ES-PP-04-20	ES_PP_04_20	ES_PP_04_20
NA	ES-PP-04-21	ES-PP-04-21	ES-PP-04-21	ES_PP_04_21	ES_PP_04_21
NA	ES-PP-04-22	ES-PP-04-22	ES-PP-04-22	ES_PP_04_22	ES_PP_04_22
NA	ES-PP-04-23	ES-PP-04-23	ES-PP-04-23	ES_PP_04_23	ES_PP_04_23
NA	ES-PP-04-24	ES-PP-04-24	ES-PP-04-24	ES_PP_04_24	NA
NA	ES-PP-04-25	ES-PP-04-25	ES-PP-04-25	ES_PP_04_25	ES_PP_04_25
NA	ES-PP-05-01	ES-PP-05-01	ES-PP-05-01	ES_PP_05_01	NA
