fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	29449_ID656_LT-BP-11-10_mapped_initial_q10_FM_clean_markdup.g	LT-BP-11-10	LT-BP-11-10	LT_BP_11_10	LT_BP_11_10
NA	29450_ID656_NO-BP-16-17_mapped_initial_q10_FM_clean_markdup.g	NO-BP-16-17	NO-BP-16-17	NO_BP_16_17	NO_BP_16_17
NA	29451_ID656_ES-BP-01-15_mapped_initial_q10_FM_clean_markdup.g	ES-BP-01-15	NA	NA	NA
NA	29452_ID656_NO-BP-16-23_mapped_initial_q10_FM_clean_markdup.g	NO-BP-16-23	NO-BP-16-23	NO_BP_16_23	NO_BP_16_23
NA	29453_ID656_GB-BP-14-26_mapped_initial_q10_FM_clean_markdup.g	GB-BP-14-26	GB-BP-14-26	GB_BP_14_26	GB_BP_14_26
NA	29454_ID656_FI-BBU_mapped_initial_q10_FM_clean_markdup.g	FI-BBU	NA	NA	NA
NA	29455_ID656_YT-235_mapped_initial_q10_FM_clean_markdup.g	YT-235	YT-235	RU_BP_23_01	RU_BP_23_01
NA	29456_ID656_SE-BP-18-23_mapped_initial_q10_FM_clean_markdup.g	SE-BP-18-23	SE-BP-18-23	SE_BP_18_23	SE_BP_18_23
NA	29457_ID656_DE-BP-09-01_mapped_initial_q10_FM_clean_markdup.g	DE-BP-09-01	DE-BP-09-01	DE_BP_09_01	DE_BP_09_01
NA	29458_ID656_DE-BP-10-18_mapped_initial_q10_FM_clean_markdup.g	DE-BP-10-18	DE-BP-10-18	DE_BP_10_18	DE_BP_10_18
NA	29459_ID656_NO-BP-16-13_mapped_initial_q10_FM_clean_markdup.g	NO-BP-16-13	NO-BP-16-13	NO_BP_16_13	NO_BP_16_13
NA	29460_ID656_FR-BP-04-09_mapped_initial_q10_FM_clean_markdup.g	FR-BP-04-09	FR-BP-04-09	FR_BP_04_09	FR_BP_04_09
NA	29461_ID656_IT-BP-07-17_mapped_initial_q10_FM_clean_markdup.g	IT-BP-07-17	IT-BP-07-17	IT_BP_07_17	IT_BP_07_17
NA	29462_ID656_LT-BP-12-16_mapped_initial_q10_FM_clean_markdup.g	LT-BP-12-16	NA	NA	NA
NA	29463_ID656_SE-BP-17-14_mapped_initial_q10_FM_clean_markdup.g	SE-BP-17-14	SE-BP-17-14	SE_BP_17_14	SE_BP_17_14
NA	29464_ID656_FR-BP-03-21_mapped_initial_q10_FM_clean_markdup.g	FR-BP-03-21	FR-BP-03-21	FR_BP_03_21	FR_BP_03_21
NA	29465_ID656_IT-BP-08-04_mapped_initial_q10_FM_clean_markdup.g	IT-BP-08-04	IT-BP-08-04	IT_BP_08_04	IT_BP_08_04
