fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	37625_ID896_ES_PS_02_13_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_13	ES_PS_2_13	ES_PS_02_13	ES_PS_02_13
NA	37626_ID896_ES_PS_02_14_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_14	ES_PS_2_14	ES_PS_02_14	ES_PS_02_14
NA	37627_ID896_ES_PS_02_15_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_15	ES_PS_2_15	ES_PS_02_15	NA
NA	37628_ID896_ES_PS_02_16_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_16	ES_PS_2_16	ES_PS_02_16	ES_PS_02_16
NA	37629_ID896_ES_PS_02_17_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_17	ES_PS_2_17	ES_PS_02_17	NA
NA	37630_ID896_ES_PS_02_18_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_18	ES_PS_2_18	ES_PS_02_18	ES_PS_02_18
NA	37631_ID896_ES_PS_02_19_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_19	ES_PS_2_19	ES_PS_02_19	ES_PS_02_19
NA	37632_ID896_ES_PS_02_20_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_20	ES_PS_2_20	ES_PS_02_20	ES_PS_02_20
NA	37633_ID896_ES_PS_02_21_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_21	ES_PS_2_21	ES_PS_02_21	ES_PS_02_21
NA	37634_ID896_ES_PS_02_22_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_22	ES_PS_2_22	ES_PS_02_22	ES_PS_02_22
NA	37635_ID896_ES_PS_02_23_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_23	ES_PS_2_23	ES_PS_02_23	ES_PS_02_23
NA	37636_ID896_ES_PS_02_24_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_24	ES_PS_2_24	ES_PS_02_24	ES_PS_02_24
NA	37637_ID896_ES_PS_02_25_mapped_initial_q10_FM_clean_markdup_reduced.g	ES_PS_2_25	ES_PS_2_25	ES_PS_02_25	ES_PS_02_25
NA	37638_ID896_FR_PS_03_1_mapped_initial_q10_FM_clean_markdup_reduced.g	FR_PS_3_1	FR_PS_3_1	FR_PS_03_01	FR_PS_03_01
NA	37639_ID896_FR_PS_03_2_mapped_initial_q10_FM_clean_markdup_reduced.g	FR_PS_3_2	FR_PS_3_2	FR_PS_03_02	FR_PS_03_02
NA	37640_ID896_FR_PS_03_3_mapped_initial_q10_FM_clean_markdup_reduced.g	FR_PS_3_3	FR_PS_3_3	FR_PS_03_03	FR_PS_03_03
NA	37641_ID896_FR_PS_03_4_mapped_initial_q10_FM_clean_markdup_reduced.g	FR_PS_3_4	FR_PS_3_4	FR_PS_03_04	FR_PS_03_04
