fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	37948	NO_QP_14_23	NO_QP_14_23	NO_QP_14_23	NO_QP_14_23
NA	37949	NO_QP_14_24	NO_QP_14_24	NO_QP_14_24	NO_QP_14_24
NA	37950	NO_QP_14_25	NO_QP_14_25	NO_QP_14_25	NO_QP_14_25
NA	37951	SE_QP_16_01	SE_QP_16_01	SE_QP_16_01	SE_QP_16_01
NA	37952	SE_QP_16_02	SE_QP_16_02	SE_QP_16_02	NA
NA	37953	SE_QP_16_03	SE_QP_16_03	SE_QP_16_03	SE_QP_16_03
NA	37954	SE_QP_16_04	SE_QP_16_04	SE_QP_16_04	SE_QP_16_04
NA	37955	SE_QP_16_05	SE_QP_16_05	SE_QP_16_05	SE_QP_16_05
NA	37956	SE_QP_16_06	SE_QP_16_06	SE_QP_16_06	SE_QP_16_06
NA	37957	SE_QP_16_07	SE_QP_16_07	SE_QP_16_07	SE_QP_16_07
NA	37958	SE_QP_16_08	SE_QP_16_08	SE_QP_16_08	SE_QP_16_08
NA	37959	SE_QP_16_09	NA	NA	NA
NA	37960	SE_QP_16_10	SE_QP_16_10	SE_QP_16_10	SE_QP_16_10
NA	37961	SE_QP_16_11	SE_QP_16_11	SE_QP_16_11	SE_QP_16_11
NA	37962	SE_QP_16_12	SE_QP_16_12	SE_QP_16_12	SE_QP_16_12
NA	37963	SE_QP_16_13	SE_QP_16_13	SE_QP_16_13	NA
NA	37964	SE_QP_16_14	SE_QP_16_14	SE_QP_16_14	SE_QP_16_14
NA	37965	SE_QP_16_15	SE_QP_16_15	SE_QP_16_15	SE_QP_16_15
NA	37966	SE_QP_16_16	SE_QP_16_16	SE_QP_16_16	SE_QP_16_16
NA	37967	SE_QP_16_17	SE_QP_16_17	SE_QP_16_17	NA
NA	37968	SE_QP_16_18	SE_QP_16_18	SE_QP_16_18	NA
NA	37969	SE_QP_16_19	SE_QP_16_19	SE_QP_16_19	SE_QP_16_19
NA	37970	SE_QP_16_20	SE_QP_16_20	SE_QP_16_20	NA
NA	37971	SE_QP_16_21	SE_QP_16_21	SE_QP_16_21	SE_QP_16_21
NA	37972	SE_QP_16_22	SE_QP_16_22	SE_QP_16_22	SE_QP_16_22
NA	37973	SE_QP_16_23	SE_QP_16_23	SE_QP_16_23	SE_QP_16_23
NA	37974	SE_QP_16_24	SE_QP_16_24	SE_QP_16_24	SE_QP_16_24
NA	37975	SE_QP_16_25	NA	NA	NA
NA	37976	DE_QP_17_01	DE_QP_17_01	DE_QP_17_01	DE_QP_17_01
NA	37977	DE_QP_17_02	DE_QP_17_02	DE_QP_17_02	DE_QP_17_02
NA	37978	DE_QP_17_03	DE_QP_17_03	DE_QP_17_03	DE_QP_17_03
NA	37979	DE_QP_17_04	DE_QP_17_04	DE_QP_17_04	DE_QP_17_04
NA	37980	DE_QP_17_05	DE_QP_17_05	DE_QP_17_05	DE_QP_17_05
NA	37981	DE_QP_17_06	DE_QP_17_06	DE_QP_17_06	DE_QP_17_06
NA	37982	DE_QP_17_07	DE_QP_17_07	DE_QP_17_07	DE_QP_17_07
NA	37983	DE_QP_17_08	DE_QP_17_08	DE_QP_17_08	DE_QP_17_08
NA	37984	DE_QP_17_09	DE_QP_17_09	DE_QP_17_09	DE_QP_17_09
NA	37985	DE_QP_17_10	DE_QP_17_10	DE_QP_17_10	DE_QP_17_10
NA	37986	DE_QP_17_11	DE_QP_17_11	DE_QP_17_11	DE_QP_17_11
NA	37987	DE_QP_17_12	DE_QP_17_12	DE_QP_17_12	DE_QP_17_12
NA	37988	DE_QP_17_13	DE_QP_17_13	DE_QP_17_13	DE_QP_17_13
NA	37989	DE_QP_17_14	DE_QP_17_14	DE_QP_17_14	DE_QP_17_14
NA	37990	DE_QP_17_15	DE_QP_17_15	DE_QP_17_15	DE_QP_17_15
NA	37991	DE_QP_17_16	DE_QP_17_16	DE_QP_17_16	DE_QP_17_16
NA	37992	DE_QP_17_17	DE_QP_17_17	DE_QP_17_17	DE_QP_17_17
NA	37993	DE_QP_17_18	DE_QP_17_18	DE_QP_17_18	DE_QP_17_18
NA	37994	DE_QP_17_19	DE_QP_17_19	DE_QP_17_19	DE_QP_17_19
NA	37995	DE_QP_17_20	DE_QP_17_20	DE_QP_17_20	DE_QP_17_20
NA	37996	DE_QP_17_21	DE_QP_17_21	DE_QP_17_21	DE_QP_17_21
NA	37997	DE_QP_17_22	DE_QP_17_22	DE_QP_17_22	DE_QP_17_22
NA	37998	DE_QP_17_23	DE_QP_17_23	DE_QP_17_23	DE_QP_17_23
NA	37999	DE_QP_17_24	DE_QP_17_24	DE_QP_17_24	DE_QP_17_24
NA	38000	DE_QP_17_25	DE_QP_17_25	DE_QP_17_25	DE_QP_17_25
NA	38001	DE_QP_18_01	DE_QP_18_01	DE_QP_18_01	DE_QP_18_01
NA	38002	DE_QP_18_02	DE_QP_18_02	DE_QP_18_02	DE_QP_18_02
NA	38003	DE_QP_18_03	DE_QP_18_03	DE_QP_18_03	DE_QP_18_03
NA	38004	DE_QP_18_04	DE_QP_18_04	DE_QP_18_04	DE_QP_18_04
NA	38005	DE_QP_18_05	DE_QP_18_05	DE_QP_18_05	DE_QP_18_05
NA	38006	DE_QP_18_06	DE_QP_18_06	DE_QP_18_06	DE_QP_18_06
NA	38007	DE_QP_18_07	DE_QP_18_07	DE_QP_18_07	DE_QP_18_07
NA	38008	DE_QP_18_08	DE_QP_18_08	DE_QP_18_08	DE_QP_18_08
NA	38009	DE_QP_18_09	DE_QP_18_09	DE_QP_18_09	DE_QP_18_09
NA	38010	DE_QP_18_10	DE_QP_18_10	DE_QP_18_10	DE_QP_18_10
NA	38011	DE_QP_18_11	DE_QP_18_11	DE_QP_18_11	DE_QP_18_11
NA	38012	DE_QP_18_12	DE_QP_18_12	DE_QP_18_12	DE_QP_18_12
NA	38013	DE_QP_18_13	DE_QP_18_13	DE_QP_18_13	DE_QP_18_13
NA	38014	DE_QP_18_14	DE_QP_18_14	DE_QP_18_14	DE_QP_18_14
NA	38015	DE_QP_18_15	DE_QP_18_15	DE_QP_18_15	DE_QP_18_15
