fastq.file.sample.name	raw_snps_file.original.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	RU_PA_19_01	RU_PA_19_01	RU_PA_19_01	RU_PA_19_01	RU_PA_19_01
NA	RU_PA_19_02	RU_PA_19_02	RU_PA_19_02	RU_PA_19_02	RU_PA_19_02
NA	RU_PA_19_03	RU_PA_19_03	RU_PA_19_03	RU_PA_19_03	RU_PA_19_03
NA	RU_PA_19_04	RU_PA_19_04	RU_PA_19_04	RU_PA_19_04	RU_PA_19_04
NA	RU_PA_19_05	RU_PA_19_05	RU_PA_19_05	RU_PA_19_05	RU_PA_19_05
NA	RU_PA_19_06	RU_PA_19_06	RU_PA_19_06	RU_PA_19_06	RU_PA_19_06
NA	RU_PA_19_07	RU_PA_19_07	RU_PA_19_07	RU_PA_19_07	RU_PA_19_07
NA	RU_PA_19_08	RU_PA_19_08	RU_PA_19_08	RU_PA_19_08	RU_PA_19_08
NA	RU_PA_19_09	RU_PA_19_09	RU_PA_19_09	RU_PA_19_09	RU_PA_19_09
NA	RU_PA_19_10	RU_PA_19_10	RU_PA_19_10	RU_PA_19_10	RU_PA_19_10
NA	RU_PA_19_11	RU_PA_19_11	RU_PA_19_11	RU_PA_19_11	RU_PA_19_11
NA	RU_PA_19_12	RU_PA_19_12	RU_PA_19_12	RU_PA_19_12	RU_PA_19_12
NA	RU_PA_19_13	RU_PA_19_13	RU_PA_19_13	RU_PA_19_13	RU_PA_19_13
NA	RU_PA_19_14	RU_PA_19_14	RU_PA_19_14	RU_PA_19_14	RU_PA_19_14
NA	RU_PA_19_15	RU_PA_19_15	RU_PA_19_15	RU_PA_19_15	RU_PA_19_15
NA	RU_PA_19_16	RU_PA_19_16	RU_PA_19_16	RU_PA_19_16	RU_PA_19_16
NA	RU_PA_19_17	RU_PA_19_17	RU_PA_19_17	RU_PA_19_17	RU_PA_19_17
NA	RU_PA_19_18	RU_PA_19_18	RU_PA_19_18	RU_PA_19_18	RU_PA_19_18
NA	RU_PA_19_19	RU_PA_19_19	RU_PA_19_19	RU_PA_19_19	RU_PA_19_19
NA	RU_PA_19_20	RU_PA_19_20	RU_PA_19_20	RU_PA_19_20	RU_PA_19_20
NA	RU_PA_19_21	RU_PA_19_21	RU_PA_19_21	RU_PA_19_21	RU_PA_19_21
NA	RU_PA_19_22	RU_PA_19_22	RU_PA_19_22	RU_PA_19_22	RU_PA_19_22
NA	RU_PA_19_23	RU_PA_19_23	RU_PA_19_23	RU_PA_19_23	RU_PA_19_23
NA	RU_PA_19_24	RU_PA_19_24	RU_PA_19_24	RU_PA_19_24	RU_PA_19_24
NA	RU_PA_19_25	RU_PA_19_25	RU_PA_19_25	RU_PA_19_25	RU_PA_19_25
NA	RU_PA_20_01	RU_PA_20_01	RU_PA_20_01	RU_PA_20_01	RU_PA_20_01
NA	RU_PA_20_02	RU_PA_20_02	RU_PA_20_02	RU_PA_20_02	RU_PA_20_02
NA	RU_PA_20_03	RU_PA_20_03	RU_PA_20_03	RU_PA_20_03	RU_PA_20_03
NA	RU_PA_20_04	RU_PA_20_04	RU_PA_20_04	RU_PA_20_04	RU_PA_20_04
NA	RU_PA_20_05	RU_PA_20_05	RU_PA_20_05	RU_PA_20_05	RU_PA_20_05
NA	RU_PA_20_06	RU_PA_20_06	RU_PA_20_06	RU_PA_20_06	RU_PA_20_06
NA	RU_PA_20_07	RU_PA_20_07	RU_PA_20_07	RU_PA_20_07	RU_PA_20_07
NA	RU_PA_20_08	RU_PA_20_08	RU_PA_20_08	RU_PA_20_08	RU_PA_20_08
NA	RU_PA_20_09	RU_PA_20_09	RU_PA_20_09	RU_PA_20_09	RU_PA_20_09
NA	RU_PA_20_10	RU_PA_20_10	RU_PA_20_10	RU_PA_20_10	RU_PA_20_10
