fastq.file.sample.name	raw_snps_file.original.sample.name	raw_snps.file.change.name	v2_kept	v2_newnames	v5.1_kept
NA	31024	FR_FS_03_19	FR_FS_03_19	FR_FS_03_19	FR_FS_03_19
NA	31025	FR_FS_03_20	FR_FS_03_20	FR_FS_03_20	FR_FS_03_20
NA	31026	FR_FS_03_21	FR_FS_03_21	FR_FS_03_21	FR_FS_03_21
NA	31027	FR_FS_03_22	FR_FS_03_22	FR_FS_03_22	FR_FS_03_22
NA	31028	FR_FS_03_23	FR_FS_03_23	FR_FS_03_23	FR_FS_03_23
NA	31029	FR_FS_03_24	FR_FS_03_24	FR_FS_03_24	FR_FS_03_24
NA	31030	FR_FS_03_25	FR_FS_03_25	FR_FS_03_25	FR_FS_03_25
NA	31031	FR_FS_04_01	FR_FS_04_01	FR_FS_04_01	FR_FS_04_01
NA	31032	FR_FS_04_02	FR_FS_04_02	FR_FS_04_02	FR_FS_04_02
NA	31033	FR_FS_04_03	FR_FS_04_03	FR_FS_04_03	FR_FS_04_03
NA	31034	FR_FS_04_04	FR_FS_04_04	FR_FS_04_04	FR_FS_04_04
NA	31035	FR_FS_04_05	FR_FS_04_05	FR_FS_04_05	FR_FS_04_05
NA	31036	FR_FS_04_06	FR_FS_04_06	FR_FS_04_06	FR_FS_04_06
NA	31037	FR_FS_04_07	FR_FS_04_07	FR_FS_04_07	FR_FS_04_07
NA	31038	FR_FS_04_08	FR_FS_04_08	FR_FS_04_08	FR_FS_04_08
NA	31039	FR_FS_04_09	FR_FS_04_09	FR_FS_04_09	FR_FS_04_09
NA	31040	FR_FS_04_10	FR_FS_04_10	FR_FS_04_10	FR_FS_04_10
NA	31041	FR_FS_04_11	FR_FS_04_11	FR_FS_04_11	FR_FS_04_11
NA	31042	FR_FS_04_12	FR_FS_04_12	FR_FS_04_12	FR_FS_04_12
NA	31043	FR_FS_04_13	FR_FS_04_13	FR_FS_04_13	FR_FS_04_13
NA	31044	FR_FS_04_14	FR_FS_04_14	FR_FS_04_14	FR_FS_04_14
NA	31045	FR_FS_04_15	FR_FS_04_15	FR_FS_04_15	FR_FS_04_15
NA	31046	FR_FS_04_16	FR_FS_04_16	FR_FS_04_16	FR_FS_04_16
NA	31047	FR_FS_04_17	FR_FS_04_17	FR_FS_04_17	FR_FS_04_17
NA	31048	FR_FS_04_18	FR_FS_04_18	FR_FS_04_18	FR_FS_04_18
NA	31049	FR_FS_04_19	FR_FS_04_19	FR_FS_04_19	FR_FS_04_19
NA	31050	FR_FS_04_20	FR_FS_04_20	FR_FS_04_20	FR_FS_04_20
NA	31051	FR_FS_04_21	FR_FS_04_21	FR_FS_04_21	FR_FS_04_21
NA	31052	FR_FS_04_22	FR_FS_04_22	FR_FS_04_22	FR_FS_04_22
NA	31053	FR_FS_04_23	FR_FS_04_23	FR_FS_04_23	FR_FS_04_23
NA	31054	FR_FS_04_24	FR_FS_04_24	FR_FS_04_24	FR_FS_04_24
NA	31055	FR_FS_04_25	FR_FS_04_25	FR_FS_04_25	FR_FS_04_25
NA	31056	FR_FS_05_01	FR_FS_05_01	FR_FS_05_01	FR_FS_05_01
NA	31057	FR_FS_05_02	FR_FS_05_02	FR_FS_05_02	FR_FS_05_02
NA	31058	FR_FS_05_03	FR_FS_05_03	FR_FS_05_03	FR_FS_05_03
NA	31059	FR_FS_05_04	FR_FS_05_04	FR_FS_05_04	FR_FS_05_04
NA	31060	FR_FS_05_05	FR_FS_05_05	FR_FS_05_05	FR_FS_05_05
NA	31061	FR_FS_05_06	FR_FS_05_06	FR_FS_05_06	FR_FS_05_06
NA	31062	FR_FS_05_07	FR_FS_05_07	FR_FS_05_07	FR_FS_05_07
NA	31063	FR_FS_05_08	FR_FS_05_08	FR_FS_05_08	FR_FS_05_08
NA	31064	FR_FS_05_09	FR_FS_05_09	FR_FS_05_09	FR_FS_05_09
NA	31065	FR_FS_05_10	FR_FS_05_10	FR_FS_05_10	FR_FS_05_10
NA	31066	FR_FS_05_11	FR_FS_05_11	FR_FS_05_11	FR_FS_05_11
NA	31067	FR_FS_05_12	FR_FS_05_12	FR_FS_05_12	FR_FS_05_12
NA	31068	FR_FS_05_13	FR_FS_05_13	FR_FS_05_13	FR_FS_05_13
NA	31069	FR_FS_05_14	FR_FS_05_14	FR_FS_05_14	FR_FS_05_14
NA	31070	FR_FS_05_15	FR_FS_05_15	FR_FS_05_15	FR_FS_05_15
NA	31071	FR_FS_05_16	FR_FS_05_16	FR_FS_05_16	FR_FS_05_16
NA	31072	FR_FS_05_17	FR_FS_05_17	FR_FS_05_17	FR_FS_05_17
NA	31073	FR_FS_05_18	FR_FS_05_18	FR_FS_05_18	FR_FS_05_18
NA	31074	FR_FS_05_19	FR_FS_05_19	FR_FS_05_19	FR_FS_05_19
NA	31075	FR_FS_05_20	FR_FS_05_20	FR_FS_05_20	FR_FS_05_20
NA	31076	FR_FS_05_21	FR_FS_05_21	FR_FS_05_21	FR_FS_05_21
NA	31077	FR_FS_05_22	FR_FS_05_22	FR_FS_05_22	FR_FS_05_22
NA	31078	FR_FS_05_23	FR_FS_05_23	FR_FS_05_23	FR_FS_05_23
NA	31079	FR_FS_05_24	FR_FS_05_24	FR_FS_05_24	FR_FS_05_24
NA	31080	FR_FS_05_25	FR_FS_05_25	FR_FS_05_25	FR_FS_05_25
NA	31081	FR_FS_06_01	FR_FS_06_01	FR_FS_06_01	FR_FS_06_01
NA	31082	FR_FS_06_02	FR_FS_06_02	FR_FS_06_02	FR_FS_06_02
NA	31083	FR_FS_06_03	FR_FS_06_03	FR_FS_06_03	FR_FS_06_03
NA	31084	FR_FS_06_04	FR_FS_06_04	FR_FS_06_04	FR_FS_06_04
NA	31085	FR_FS_06_05	FR_FS_06_05	FR_FS_06_05	FR_FS_06_05
NA	31086	FR_FS_06_06	FR_FS_06_06	FR_FS_06_06	FR_FS_06_06
NA	31087	FR_FS_06_07	FR_FS_06_07	FR_FS_06_07	FR_FS_06_07
NA	31088	FR_FS_06_08	FR_FS_06_08	FR_FS_06_08	FR_FS_06_08
NA	31089	FR_FS_06_09	FR_FS_06_09	FR_FS_06_09	FR_FS_06_09
NA	31090	FR_FS_06_10	FR_FS_06_10	FR_FS_06_10	FR_FS_06_10
NA	31091	FR_FS_06_11	FR_FS_06_11	FR_FS_06_11	FR_FS_06_11
NA	31092	FR_FS_06_12	FR_FS_06_12	FR_FS_06_12	FR_FS_06_12
NA	31093	FR_FS_06_13	FR_FS_06_13	FR_FS_06_13	FR_FS_06_13
NA	31094	FR_FS_06_14	FR_FS_06_14	FR_FS_06_14	FR_FS_06_14
NA	31095	FR_FS_06_15	FR_FS_06_15	FR_FS_06_15	FR_FS_06_15
NA	31096	FR_FS_06_16	FR_FS_06_16	FR_FS_06_16	FR_FS_06_16
NA	31097	FR_FS_06_17	FR_FS_06_17	FR_FS_06_17	FR_FS_06_17
NA	31098	FR_FS_06_18	FR_FS_06_18	FR_FS_06_18	FR_FS_06_18
NA	31099	FR_FS_06_19	FR_FS_06_19	FR_FS_06_19	FR_FS_06_19
NA	31100	FR_FS_06_20	FR_FS_06_20	FR_FS_06_20	FR_FS_06_20
NA	31101	FR_FS_06_21	FR_FS_06_21	FR_FS_06_21	FR_FS_06_21
NA	31102	FR_FS_06_22	FR_FS_06_22	FR_FS_06_22	FR_FS_06_22
NA	31103	FR_FS_06_23	FR_FS_06_23	FR_FS_06_23	FR_FS_06_23
NA	31104	FR_FS_06_24	FR_FS_06_24	FR_FS_06_24	FR_FS_06_24
NA	31105	FR_FS_06_25	FR_FS_06_25	FR_FS_06_25	FR_FS_06_25
NA	31106	IT_FS_07_01	IT_FS_07_01	IT_FS_07_01	IT_FS_07_01
NA	31107	IT_FS_07_02	IT_FS_07_02	IT_FS_07_02	IT_FS_07_02
NA	31108	IT_FS_07_03	IT_FS_07_03	IT_FS_07_03	IT_FS_07_03
NA	31109	IT_FS_07_04	IT_FS_07_04	IT_FS_07_04	NA
NA	31110	IT_FS_07_05	IT_FS_07_05	IT_FS_07_05	IT_FS_07_05
NA	31111	IT_FS_07_06	IT_FS_07_06	IT_FS_07_06	IT_FS_07_06
NA	31112	IT_FS_07_07	IT_FS_07_07	IT_FS_07_07	IT_FS_07_07
NA	31113	IT_FS_07_08	IT_FS_07_08	IT_FS_07_08	IT_FS_07_08
NA	31114	IT_FS_07_09	IT_FS_07_09	IT_FS_07_09	IT_FS_07_09
NA	31115	IT_FS_07_10	IT_FS_07_10	IT_FS_07_10	IT_FS_07_10
NA	31116	IT_FS_07_11	IT_FS_07_11	IT_FS_07_11	IT_FS_07_11
NA	31117	IT_FS_07_12	IT_FS_07_12	IT_FS_07_12	IT_FS_07_12
NA	31118	IT_FS_07_13	IT_FS_07_13	IT_FS_07_13	IT_FS_07_13
NA	31119	IT_FS_07_14	IT_FS_07_14	IT_FS_07_14	IT_FS_07_14
NA	31120	IT_FS_07_15	IT_FS_07_15	IT_FS_07_15	IT_FS_07_15
NA	31121	IT_FS_07_16	IT_FS_07_16	IT_FS_07_16	IT_FS_07_16
NA	31122	IT_FS_07_17	IT_FS_07_17	IT_FS_07_17	NA
NA	31123	IT_FS_07_18	IT_FS_07_18	IT_FS_07_18	IT_FS_07_18
NA	31124	IT_FS_07_19	IT_FS_07_19	IT_FS_07_19	IT_FS_07_19
NA	31125	IT_FS_07_20	IT_FS_07_20	IT_FS_07_20	IT_FS_07_20
NA	31126	IT_FS_07_21	IT_FS_07_21	IT_FS_07_21	IT_FS_07_21
NA	31127	IT_FS_07_22	IT_FS_07_22	IT_FS_07_22	IT_FS_07_22
NA	31128	IT_FS_07_23	IT_FS_07_23	IT_FS_07_23	IT_FS_07_23
NA	31129	IT_FS_07_24	IT_FS_07_24	IT_FS_07_24	IT_FS_07_24
NA	31130	IT_FS_07_25	IT_FS_07_25	IT_FS_07_25	IT_FS_07_25
NA	31131	IT_FS_08_01	IT_FS_08_01	IT_FS_08_01	NA
NA	31132	IT_FS_08_02	IT_FS_08_02	IT_FS_08_02	IT_FS_08_02
NA	31133	IT_FS_08_03	IT_FS_08_03	IT_FS_08_03	IT_FS_08_03
NA	31134	IT_FS_08_04	IT_FS_08_04	IT_FS_08_04	IT_FS_08_04
NA	31135	IT_FS_08_05	IT_FS_08_05	IT_FS_08_05	IT_FS_08_05
NA	31136	IT_FS_08_06	IT_FS_08_06	IT_FS_08_06	IT_FS_08_06
NA	31137	IT_FS_08_07	IT_FS_08_07	IT_FS_08_07	IT_FS_08_07
NA	31138	IT_FS_08_08	IT_FS_08_08	IT_FS_08_08	IT_FS_08_08
NA	31139	IT_FS_08_09	IT_FS_08_09	IT_FS_08_09	IT_FS_08_09
NA	31140	IT_FS_08_10	IT_FS_08_10	IT_FS_08_10	NA
NA	31141	IT_FS_08_11	IT_FS_08_11	IT_FS_08_11	IT_FS_08_11
NA	31142	IT_FS_08_12	IT_FS_08_12	IT_FS_08_12	IT_FS_08_12
NA	31143	IT_FS_08_13	IT_FS_08_13	IT_FS_08_13	IT_FS_08_13
NA	31144	IT_FS_08_14	IT_FS_08_14	IT_FS_08_14	IT_FS_08_14
NA	31145	IT_FS_08_15	IT_FS_08_15	IT_FS_08_15	IT_FS_08_15
NA	31146	IT_FS_08_16	IT_FS_08_16	IT_FS_08_16	IT_FS_08_16
NA	31147	IT_FS_08_17	IT_FS_08_17	IT_FS_08_17	IT_FS_08_17
NA	31182	IT_FS_08_18	IT_FS_08_18	IT_FS_08_18	IT_FS_08_18
NA	31183	IT_FS_08_19	IT_FS_08_19	IT_FS_08_19	IT_FS_08_19
NA	31184	IT_FS_08_20	IT_FS_08_20	IT_FS_08_20	IT_FS_08_20
NA	31185	IT_FS_08_21	IT_FS_08_21	IT_FS_08_21	NA
NA	31186	IT_FS_08_22	IT_FS_08_22	IT_FS_08_22	IT_FS_08_22
NA	31187	IT_FS_08_23	IT_FS_08_23	IT_FS_08_23	IT_FS_08_23
NA	31188	IT_FS_08_24	IT_FS_08_24	IT_FS_08_24	IT_FS_08_24
NA	31189	IT_FS_08_25	IT_FS_08_25	IT_FS_08_25	IT_FS_08_25
NA	31190	GR_FS_09_01	GR_FS_09_01	GR_FS_09_01	GR_FS_09_01
NA	31191	GR_FS_09_02	GR_FS_09_02	GR_FS_09_02	GR_FS_09_02
NA	31192	GR_FS_09_03	GR_FS_09_03	GR_FS_09_03	GR_FS_09_03
NA	31193	GR_FS_09_04	GR_FS_09_04	GR_FS_09_04	GR_FS_09_04
NA	31194	GR_FS_09_05	GR_FS_09_05	GR_FS_09_05	GR_FS_09_05
NA	31195	GR_FS_09_06	GR_FS_09_06	GR_FS_09_06	GR_FS_09_06
NA	31196	GR_FS_09_07	GR_FS_09_07	GR_FS_09_07	GR_FS_09_07
NA	31197	GR_FS_09_08	GR_FS_09_08	GR_FS_09_08	GR_FS_09_08
NA	31198	GR_FS_09_09	GR_FS_09_09	GR_FS_09_09	GR_FS_09_09
NA	31199	GR_FS_09_10	GR_FS_09_10	GR_FS_09_10	GR_FS_09_10
NA	31200	GR_FS_09_11	GR_FS_09_11	GR_FS_09_11	GR_FS_09_11
NA	31201	GR_FS_09_12	GR_FS_09_12	GR_FS_09_12	GR_FS_09_12
NA	31202	GR_FS_09_13	GR_FS_09_13	GR_FS_09_13	GR_FS_09_13
NA	31203	GR_FS_09_14	NA	NA	NA
NA	31204	GR_FS_09_15	GR_FS_09_15	GR_FS_09_15	GR_FS_09_15
NA	31205	GR_FS_09_16	GR_FS_09_16	GR_FS_09_16	GR_FS_09_16
NA	31206	GR_FS_09_17	GR_FS_09_17	GR_FS_09_17	GR_FS_09_17
NA	31207	GR_FS_09_18	GR_FS_09_18	GR_FS_09_18	GR_FS_09_18
NA	31208	GR_FS_09_19	GR_FS_09_19	GR_FS_09_19	GR_FS_09_19
NA	31209	GR_FS_09_20	GR_FS_09_20	GR_FS_09_20	GR_FS_09_20
NA	31210	GR_FS_09_21	GR_FS_09_21	GR_FS_09_21	GR_FS_09_21
NA	31211	GR_FS_09_22	GR_FS_09_22	GR_FS_09_22	GR_FS_09_22
NA	31212	GR_FS_09_23	GR_FS_09_23	GR_FS_09_23	GR_FS_09_23
NA	31213	GR_FS_09_24	GR_FS_09_24	GR_FS_09_24	GR_FS_09_24
NA	31214	GR_FS_09_25	GR_FS_09_25	GR_FS_09_25	GR_FS_09_25
NA	31215	GR_FS_10_01	GR_FS_10_01	GR_FS_10_01	GR_FS_10_01
NA	31216	GR_FS_10_02	GR_FS_10_02	GR_FS_10_02	GR_FS_10_02
NA	31217	GR_FS_10_03	GR_FS_10_03	GR_FS_10_03	GR_FS_10_03
NA	31218	GR_FS_10_04	GR_FS_10_04	GR_FS_10_04	GR_FS_10_04
NA	31219	GR_FS_10_05	GR_FS_10_05	GR_FS_10_05	GR_FS_10_05
NA	31220	GR_FS_10_06	GR_FS_10_06	GR_FS_10_06	GR_FS_10_06
NA	31221	GR_FS_10_07	GR_FS_10_07	GR_FS_10_07	GR_FS_10_07
NA	31222	GR_FS_10_08	GR_FS_10_08	GR_FS_10_08	GR_FS_10_08
NA	31223	GR_FS_10_09	GR_FS_10_09	GR_FS_10_09	GR_FS_10_09
NA	31224	GR_FS_10_10	GR_FS_10_10	GR_FS_10_10	GR_FS_10_10
NA	31225	GR_FS_10_11	GR_FS_10_11	GR_FS_10_11	GR_FS_10_11
NA	31226	GR_FS_10_12	GR_FS_10_12	GR_FS_10_12	GR_FS_10_12
NA	31227	GR_FS_10_13	GR_FS_10_13	GR_FS_10_13	GR_FS_10_13
NA	31228	GR_FS_10_14	GR_FS_10_14	GR_FS_10_14	GR_FS_10_14
NA	31229	GR_FS_10_15	GR_FS_10_15	GR_FS_10_15	GR_FS_10_15
NA	31230	GR_FS_10_16	GR_FS_10_16	GR_FS_10_16	GR_FS_10_16
NA	31231	GR_FS_10_17	GR_FS_10_17	GR_FS_10_17	GR_FS_10_17
NA	31232	GR_FS_10_18	GR_FS_10_18	GR_FS_10_18	GR_FS_10_18
NA	31233	GR_FS_10_19	GR_FS_10_19	GR_FS_10_19	GR_FS_10_19
NA	31234	GR_FS_10_20	GR_FS_10_20	GR_FS_10_20	GR_FS_10_20
NA	31235	GR_FS_10_21	GR_FS_10_21	GR_FS_10_21	GR_FS_10_21
NA	31236	GR_FS_10_22	GR_FS_10_22	GR_FS_10_22	GR_FS_10_22
NA	31237	GR_FS_10_23	GR_FS_10_23	GR_FS_10_23	GR_FS_10_23
NA	31238	GR_FS_10_24	GR_FS_10_24	GR_FS_10_24	GR_FS_10_24
NA	31239	GR_FS_10_25	GR_FS_10_25	GR_FS_10_25	GR_FS_10_25
NA	31240	CH_FS_11_01	CH_FS_11_01	CH_FS_11_01	CH_FS_11_01
NA	31241	CH_FS_11_02	CH_FS_11_02	CH_FS_11_02	CH_FS_11_02
NA	31242	CH_FS_11_03	CH_FS_11_03	CH_FS_11_03	CH_FS_11_03
NA	31243	CH_FS_11_04	NA	NA	NA
NA	31244	CH_FS_11_05	CH_FS_11_05	CH_FS_11_05	CH_FS_11_05
NA	31245	CH_FS_11_06	CH_FS_11_06	CH_FS_11_06	CH_FS_11_06
NA	31246	CH_FS_11_07	CH_FS_11_07	CH_FS_11_07	CH_FS_11_07
NA	31247	CH_FS_11_08	CH_FS_11_08	CH_FS_11_08	CH_FS_11_08
NA	31248	CH_FS_11_09	CH_FS_11_09	CH_FS_11_09	CH_FS_11_09
NA	31249	CH_FS_11_10	CH_FS_11_10	CH_FS_11_10	CH_FS_11_10
NA	31250	CH_FS_11_11	CH_FS_11_11	CH_FS_11_11	CH_FS_11_11
NA	31251	CH_FS_11_12	CH_FS_11_12	CH_FS_11_12	CH_FS_11_12
NA	31252	CH_FS_11_13	CH_FS_11_13	CH_FS_11_13	CH_FS_11_13
NA	31253	CH_FS_11_14	CH_FS_11_14	CH_FS_11_14	CH_FS_11_14
NA	31254	CH_FS_11_15	CH_FS_11_15	CH_FS_11_15	CH_FS_11_15
NA	31255	CH_FS_11_16	CH_FS_11_16	CH_FS_11_16	CH_FS_11_16
NA	31256	CH_FS_11_17	CH_FS_11_17	CH_FS_11_17	CH_FS_11_17
NA	31257	CH_FS_11_18	CH_FS_11_18	CH_FS_11_18	CH_FS_11_18
NA	31258	CH_FS_11_19	CH_FS_11_19	CH_FS_11_19	CH_FS_11_19
NA	31259	CH_FS_11_20	CH_FS_11_20	CH_FS_11_20	CH_FS_11_20
NA	31260	CH_FS_11_21	CH_FS_11_21	CH_FS_11_21	CH_FS_11_21
NA	31261	CH_FS_11_22	CH_FS_11_22	CH_FS_11_22	CH_FS_11_22
NA	31262	CH_FS_11_23	CH_FS_11_23	CH_FS_11_23	CH_FS_11_23
NA	31263	CH_FS_11_24	CH_FS_11_24	CH_FS_11_24	CH_FS_11_24
NA	31264	CH_FS_11_25	CH_FS_11_25	CH_FS_11_25	NA
NA	31265	CH_FS_12_01	CH_FS_12_01	CH_FS_12_01	NA
NA	31266	CH_FS_12_02	CH_FS_12_02	CH_FS_12_02	CH_FS_12_02
NA	31267	CH_FS_12_03	CH_FS_12_03	CH_FS_12_03	CH_FS_12_03
NA	31268	CH_FS_12_04	CH_FS_12_04	CH_FS_12_04	CH_FS_12_04
NA	31269	CH_FS_12_05	CH_FS_12_05	CH_FS_12_05	CH_FS_12_05
NA	31270	CH_FS_12_06	CH_FS_12_06	CH_FS_12_06	CH_FS_12_06
NA	31271	CH_FS_12_07	CH_FS_12_07	CH_FS_12_07	CH_FS_12_07
NA	31272	CH_FS_12_08	CH_FS_12_08	CH_FS_12_08	CH_FS_12_08
NA	31273	CH_FS_12_09	CH_FS_12_09	CH_FS_12_09	CH_FS_12_09
NA	31274	CH_FS_12_10	CH_FS_12_10	CH_FS_12_10	NA
NA	31275	CH_FS_12_11	CH_FS_12_11	CH_FS_12_11	CH_FS_12_11
NA	31276	CH_FS_12_12	CH_FS_12_12	CH_FS_12_12	CH_FS_12_12
NA	31277	CH_FS_12_13	CH_FS_12_13	CH_FS_12_13	CH_FS_12_13
NA	31278	CH_FS_12_14	CH_FS_12_14	CH_FS_12_14	CH_FS_12_14
NA	31279	CH_FS_12_15	CH_FS_12_15	CH_FS_12_15	CH_FS_12_15
NA	31280	CH_FS_12_16	CH_FS_12_16	CH_FS_12_16	CH_FS_12_16
NA	31281	CH_FS_12_17	NA	NA	NA
NA	31282	CH_FS_12_18	CH_FS_12_18	CH_FS_12_18	CH_FS_12_18
NA	31283	CH_FS_12_19	CH_FS_12_19	CH_FS_12_19	CH_FS_12_19
NA	31284	CH_FS_12_20	CH_FS_12_20	CH_FS_12_20	CH_FS_12_20
NA	31285	CH_FS_12_21	CH_FS_12_21	CH_FS_12_21	CH_FS_12_21
NA	31286	CH_FS_12_22	CH_FS_12_22	CH_FS_12_22	CH_FS_12_22
NA	31287	CH_FS_12_23	CH_FS_12_23	CH_FS_12_23	CH_FS_12_23
NA	31288	CH_FS_12_24	CH_FS_12_24	CH_FS_12_24	CH_FS_12_24
NA	31289	CH_FS_12_25	CH_FS_12_25	CH_FS_12_25	CH_FS_12_25
NA	31290	AT_FS_13_04	AT_FS_13_04	AT_FS_13_04	AT_FS_13_04
NA	31291	AT_FS_13_05	AT_FS_13_05	AT_FS_13_05	AT_FS_13_05
NA	31292	AT_FS_13_06	AT_FS_13_06	AT_FS_13_06	AT_FS_13_06
NA	31293	AT_FS_13_07	AT_FS_13_07	AT_FS_13_07	AT_FS_13_07
